slice,ecmp,spf,dist_weight
0,1.349527455276882,1.5899390204407242,1.2654676163183811
1,1.349527455276882,1.5899390204407242,1.2647143441881459
2,1.4022466234275122,1.5781627213108276,1.301179768383627
3,1.4385904274446957,1.7042686805980494,1.3712107704560625
4,1.4372209411715888,1.6848905154589757,1.3476349403810026
5,1.4240521671107575,1.6971187412885331,1.3687706479309363
6,1.3656680130950123,1.5738560254319283,1.257287957809341
7,1.4023885056416203,1.6124133189041572,1.2811818140461646
8,1.4017214166553442,1.5881648585577555,1.2641521314903454
9,1.3886923340065098,1.5881648585577555,1.265873769915921
10,1.3665742956105327,1.5648115270894862,1.2486202367390582
11,1.3992409892200246,1.6009098513846678,1.2846810719016617
12,1.2930816846548432,1.5584988672907463,1.2474761895897741
13,1.4203748536986314,1.6817615831473502,1.3544192619086324
14,1.429508811061734,1.6808010086326501,1.3520476354101931
15,1.429508811061734,1.7275519471451835,1.35099718437799
16,1.256911680971471,1.5286813194498663,1.1814731309513635
17,1.3050308961888992,1.5520346509181357,1.2123383386441515
18,1.3151752705534412,1.5520346509181357,1.2002119424634925
19,1.3298169971273128,1.5944456350120573,1.2529163748456968
20,1.3159736643954092,1.5836436419279598,1.2379396618875378
21,1.3420046250709352,1.6175658505800579,1.26964503626255
22,1.335950196607189,1.5903178432667489,1.2352673245011887
23,1.466991923877925,1.7368477110996496,1.358338889289887
24,1.4443936516892497,1.7069118303219517,1.3529285262831647
25,1.4590031375759334,1.717753967007302,1.346266061783575
26,1.2345093722677618,1.4937748599416327,1.159049776961169
27,1.2485193374664239,1.5045768530257297,1.1727509994799423
28,1.2485193374664239,1.5045768530257297,1.1726842329286253
29,1.244755647400822,1.5305089468270174,1.2014077874563223
30,1.244755647400822,1.5305089468270174,1.2013812040610865
31,1.2570422597387816,1.5416265330171455,1.2141733500422716
32,1.2570422597387816,1.5416265330171455,1.2142004739041183
33,1.459122440323205,1.7799785807688309,1.4042166073309308
34,1.459122440323205,1.7799785807688309,1.404258816400484
35,1.459122440323205,1.7799785807688309,1.4043212931193323
36,1.1925139583042277,1.4373936787156536,1.1506621043538645
37,1.1925139583042277,1.4373936787156536,1.1507564880939867
38,1.1022255243491215,0.9482504753779516,0.8569135150506515
39,0.9137493880762403,0.7089863465602954,0.6859978703788635
40,0.9137493880762403,0.7089863465602954,0.6857703664274922
41,0.8807750110175588,0.6807181907846164,0.6766180983373961
42,0.8807750110175588,0.6807181907846164,0.6763936536900732
43,1.0868929270987664,0.6868783120036346,0.708229024272116
44,1.0868929270987664,0.6868783120036346,0.7080033674582481
45,0.8647853736394253,0.6727107414871335,0.6772511783770784
46,0.8647853736394253,0.6727107414871335,0.6769748705008984
47,0.9099120098103749,0.7105314719932755,0.7281933564755885
48,0.9099120098103749,0.7105314719932755,0.7279483605471395
49,0.795600033452854,0.6574203266766462,0.6242582292972921
50,0.795600033452854,0.6574203266766462,0.624091617106742
51,0.8983544640054753,0.6620777443713682,0.6509977210507705
52,0.8983544640054753,0.6620777443713682,0.6509383699608506
53,1.127775203395338,0.7761434268975271,0.6655137807688402
54,1.127775203395338,0.7761434268975271,0.6659945181707208
55,1.0125594529972615,0.7643115404558148,0.6539333072532966
56,1.08742272315044,0.8128183082188218,0.6537932993405613
57,1.74921136743877,1.4423559766124407,0.9547329681887253
58,1.7980987045848942,1.4642560888548743,0.993254705190886
59,1.3457794111429642,1.21339554094943,0.7861407310910359
60,1.3610734515332283,1.219137440731447,0.7871765180667742
61,1.5542155370902118,1.4543156177005434,0.9315597320603901
62,1.582164727880323,1.4713264733590226,0.9364395079538447
63,1.2770424040864359,1.3610315497040293,1.0180760676282927
64,1.2770424040864359,1.3610315497040293,1.0186374740675532
65,1.4527019784460198,1.3582226055323283,1.0299028142293605
66,1.4087006407751193,1.6240611645423448,1.1820462475246822
67,1.3938270019602033,1.6061020305138833,1.1597587887406549
68,1.3937257239704455,1.6061020305138833,1.1846061775084218
69,1.2853907012176955,1.4160808704251362,1.0705839526322898
70,1.4077239604820253,1.6099268442452532,1.20949622872702
71,1.386045445848154,1.587186436062079,1.159783003557265
72,1.386347682865143,1.587186436062079,1.2583794942865034
73,1.3068104026401335,1.426302414091772,1.2437252840295723
74,1.3781969027894947,1.4878016463689434,1.2667697902812816
75,1.3155630839582868,1.4187889152655826,1.214639256562657
76,1.3566651074289537,1.5856929361267535,1.2822745359606171
77,1.362508448570658,1.5856929361267535,1.2749466904542894
78,1.3559622347012878,1.688579270612919,1.3287291457701376
79,1.30909263806848,1.5739747589241821,1.2683935968731386
80,1.368821010385708,1.6386844092403001,1.3447849152248168
81,1.3739824879856681,1.596206833284078,1.288718835458989
82,1.4217362362232064,1.6652195643874388,1.3345648349992005
83,1.403187998897847,1.5543527383977926,1.3333136634847613
84,1.3973446577561421,1.5879752507596026,1.3345922743477576
85,1.3545910714558378,1.5290150396059152,1.2799439577608611
86,1.4060917836013824,1.6242678827428814,1.3212829251834006
87,1.3858808084504919,1.5702699961512807,1.2986268004680221
88,1.4023482077061111,1.663750262497993,1.328101896701681
89,1.3825569470292136,1.6163550648443277,1.300968521042738
90,1.4011051843545732,1.6505625971763045,1.3333183568682714
91,1.3364517158144857,1.5230094085747505,1.254294480147625
92,1.3925296037109323,1.5819696197284372,1.3160628883349617
93,1.3840402242283887,1.5602942126453223,1.3158617669387032
94,1.3866611328137215,1.628377536070377,1.3157575465828666
95,1.349527455276882,1.5899390204407242,1.264866232810874
96,1.3892175407786773,1.6373342180943893,1.3070581815651832
97,1.4022466234275122,1.5781627213108276,1.3008002367912985
98,1.4385904274446957,1.7042686805980494,1.3707293522453468
99,1.4372209411715888,1.6848905154589757,1.3472417909883576
100,1.4240521671107575,1.6971187412885331,1.368119207564526
101,1.3656680130950123,1.5738560254319283,1.2565864722520825
102,1.4017214166553442,1.5881648585577555,1.2648028824746185
103,1.4017214166553442,1.5881648585577555,1.2634026967853904
104,1.3665742956105327,1.5648115270894862,1.2493067644869524
105,1.3665742956105327,1.5648115270894862,1.247843251629408
106,1.2930816846548432,1.5584988672907463,1.2481470871640112
107,1.2930816846548432,1.5584988672907463,1.2467091685944167
108,1.429508811061734,1.6808010086326501,1.3525529088664587
109,1.429508811061734,1.6808010086326501,1.3514849102557869
110,1.256911680971471,1.5286813194498663,1.1819693518222896
111,1.256911680971471,1.5286813194498663,1.1809420639712278
112,1.3151752705534412,1.5520346509181357,1.2005627941195438
113,1.3151752705534412,1.5520346509181357,1.1998405751874313
114,1.3159736643954092,1.5836436419279598,1.238210614863506
115,1.3159736643954092,1.5836436419279598,1.2376545099981908
116,1.335950196607189,1.5903178432667489,1.2354565607062078
117,1.335934915443422,1.5903178432667489,1.23243017149613
118,1.4443936516892497,1.7069118303219517,1.3531787110978575
119,1.4590031375759334,1.7069118303219517,1.3465226357871882
120,1.2345093722677618,1.4937748599416327,1.1591167511529379
121,1.2345093722677618,1.4937748599416327,1.158696182482035
122,1.2485193374664239,1.5045768530257297,1.1727103513264305
123,1.2380533711108148,1.503260939513709,1.1628391219080865
124,1.244755647400822,1.5305089468270174,1.2013898888670707
125,1.244755647400822,1.5305089468270174,1.2013790627063181
126,1.2570422597387816,1.5416265330171455,1.2141849727693663
127,1.459122440323205,1.7799785807688309,1.4042045539611037
128,1.459122440323205,1.7799785807688309,1.4042363810163419
129,1.459122440323205,1.7799785807688309,1.4042896190863952
130,1.1925139583042277,1.4373936787156536,1.1506212478003093
131,1.1925139583042277,1.4373936787156536,1.1507110642043172
132,1.1022255243491215,0.9482504753779516,0.8568853972070055
133,1.1022255243491215,0.9482504753779516,0.8569477942526232
134,0.9137493880762403,0.7089863465602954,0.6858737858135519
135,0.9137493880762403,0.7089863465602954,0.6856602520789414
136,0.8807750110175588,0.6807181907846164,0.6764953598990532
137,1.244719790161569,0.761163435224432,0.8418837221525232
138,1.0868929270987664,0.6868783120036346,0.7081058448246588
139,1.0868929270987686,0.7332067314562305,0.7428384642214317
140,0.8647853736394253,0.6727107414871335,0.6771020228244761
141,0.9710885030039453,0.7105314719932755,0.7287673107607057
142,0.9099120098103749,0.7105314719932755,0.7280599532588159
143,0.9099120098103749,0.7105314719932755,0.7280947929795204
144,0.795600033452854,0.6574203266766462,0.6241670139635488
145,0.892620672415024,0.6620777443713682,0.6515564882876017
146,0.8983544640054753,0.6620777443713682,0.6509759991387076
147,1.2229027495244522,0.7761434268975271,0.7490202834986216
148,1.127775203395338,0.7761434268975271,0.6657647694893513
149,1.2966402751921389,0.798786334364885,0.7131577020305705
150,1.08742272315044,0.8128183082188218,0.6539798248138068
151,1.8206628180060789,1.4974674234809906,0.9907876160259178
152,1.7980987045848942,1.4642560888548743,0.9930780992038848
153,1.8129928902025,1.4802620295633704,1.0204526346932217
154,1.3610734515332283,1.219137440731447,0.7870140249383508
155,1.6131958555511103,1.5115950604965,0.9536241593460991
156,1.582164727880323,1.4713264733590226,0.9362324523561347
157,1.579974558192033,1.4788943952905318,1.0627941884965502
158,1.2770424040864359,1.3610315497040293,1.018370235336805
159,1.4486604678527415,1.414105606848055,1.0847030055076339
160,1.4527019784460198,1.3582226055323283,1.03013826834799
161,1.4087006407751193,1.6240611645423448,1.1824117424470453
162,1.3938270019602033,1.6061020305138833,1.160125194047342
163,1.2853907012176955,1.4160808704251362,1.0702980324220224
164,1.2853907012176955,1.4160808704251362,1.0709117683283762
165,1.386045445848154,1.587186436062079,1.1594810385125076
166,1.386045445848154,1.587186436062079,1.160132040540003
167,1.3068104026401335,1.426302414091772,1.2433602251816613
168,1.3068104026401335,1.426302414091772,1.2441409930417338
169,1.3155630839582868,1.4187889152655826,1.214368747287301
170,1.3155630839582868,1.4187889152655826,1.2149492395368533
171,1.362508448570658,1.5856929361267535,1.2746266661072285
172,1.362508448570658,1.5856929361267535,1.2753047203112808
173,1.30909263806848,1.5739747589241821,1.2681278989016473
174,1.30909263806848,1.5739747589241821,1.2686858812340174
175,1.3739824879856681,1.596206833284078,1.2884099258248554
176,1.3739824879856681,1.596206833284078,1.2890667980336907
177,1.403187998897847,1.5543527383977926,1.3329977153048382
