0 63:0-1-2-3-4-5-6-17-18-29-30-41-52-63,0-1-2-3-4-5-6-17-18-29-40-41-52-63,0-1-2-3-4-5-6-17-28-29-30-41-52-63
0 64:0-1-2-3-4-5-6-17-18-29-30-41-52-53-64,0-1-2-3-4-5-6-17-18-29-30-41-52-63-64,0-1-2-3-4-5-6-17-18-29-40-41-52-53-64
0 65:0-1-2-3-4-5-6-7-8-9-10-21-32-43-54-65,0-1-2-3-4-5-6-7-8-9-20-21-32-43-54-65,0-1-2-3-4-5-6-7-8-9-20-31-32-43-54-65
0 66:0-1-2-3-4-5-6-7-8-9-10-21-22-33-44-55-66,0-1-2-3-4-5-6-7-8-9-10-21-32-33-44-55-66,0-1-2-3-4-5-6-7-8-9-10-21-32-43-44-55-66
0 67:0-23-34-45-56-67,0-23-12-35-46-56-67,0-23-34-35-46-56-67
0 68:0-23-34-45-56-57-68,0-23-34-45-56-67-68,0-23-12-35-46-56-57-68
0 69:0-23-12-35-24-47-58-69,0-23-12-35-46-47-58-69,0-23-34-35-24-47-58-69
0 70:0-23-12-35-24-47-58-59-70,0-23-12-35-24-47-58-69-70,0-23-12-35-46-47-58-59-70
0 71:0-1-2-3-4-15-26-37-48-71,0-1-2-3-14-15-26-37-48-71,0-1-2-3-14-25-26-37-48-71
0 72:0-1-2-3-4-5-6-17-28-39-50-61-72,0-1-2-3-4-15-16-17-28-39-50-61-72,0-1-2-3-4-15-16-27-28-39-50-61-72
0 73:0-1-2-3-4-5-6-17-28-39-50-51-62-73,0-1-2-3-4-5-6-17-28-39-50-61-62-73,0-1-2-3-4-5-6-17-28-39-50-61-72-73
0 74:0-1-2-3-4-5-6-17-28-39-50-51-62-73-74,0-1-2-3-4-5-6-17-28-39-50-61-62-73-74,0-1-2-3-4-5-6-17-28-39-50-61-72-73-74
0 75:0-1-2-3-4-5-6-17-18-29-30-41-52-53-64-75,0-1-2-3-4-5-6-17-18-29-30-41-52-63-64-75,0-1-2-3-4-5-6-17-18-29-40-41-52-53-64-75
0 76:0-1-2-3-4-5-6-7-8-9-10-21-32-43-54-65-76,0-1-2-3-4-5-6-7-8-9-20-21-32-43-54-65-76,0-1-2-3-4-5-6-7-8-9-20-31-32-43-54-65-76
0 77:0-1-2-3-4-5-6-7-8-9-10-21-22-33-44-55-66-77,0-1-2-3-4-5-6-7-8-9-10-21-32-33-44-55-66-77,0-1-2-3-4-5-6-7-8-9-10-21-32-43-44-55-66-77
0 78:0-23-34-45-56-67-78,0-23-12-35-46-56-67-78,0-23-34-35-46-56-67-78
0 79:0-23-34-45-56-57-68-79,0-23-34-45-56-67-68-79,0-23-34-45-56-67-78-79
0 80:0-23-34-45-56-57-68-79-80,0-23-34-45-56-67-68-79-80,0-23-34-45-56-67-78-79-80
0 81:0-23-12-35-24-47-58-59-70-81,0-23-12-35-24-47-58-69-70-81,0-23-12-35-46-47-58-59-70-81
0 82:0-1-2-3-4-15-26-37-48-71-82,0-1-2-3-14-15-26-37-48-71-82,0-1-2-3-14-25-26-37-48-71-82
0 83:0-1-2-3-4-15-16-27-38-49-60-83,0-1-2-3-4-15-26-27-38-49-60-83,0-1-2-3-4-15-26-37-38-49-60-83
0 84:0-1-2-3-4-5-6-17-28-39-50-51-62-73-84,0-1-2-3-4-5-6-17-28-39-50-61-62-73-84,0-1-2-3-4-5-6-17-28-39-50-61-72-73-84
0 85:0-1-2-3-4-5-6-17-28-39-50-51-62-73-74-85,0-1-2-3-4-5-6-17-28-39-50-51-62-73-84-85,0-1-2-3-4-5-6-17-28-39-50-61-62-73-74-85
0 86:0-1-2-3-4-5-6-17-28-39-50-51-62-73-74-85-86,0-1-2-3-4-5-6-17-28-39-50-51-62-73-84-85-86,0-1-2-3-4-5-6-17-28-39-50-61-62-73-74-85-86
0 87:0-1-2-3-4-5-6-7-8-9-10-21-32-43-54-65-76-87,0-1-2-3-4-5-6-7-8-9-20-21-32-43-54-65-76-87,0-1-2-3-4-5-6-7-8-9-20-31-32-43-54-65-76-87
0 88:0-1-2-3-4-5-6-7-8-9-10-21-32-43-54-65-76-87-88,0-1-2-3-4-5-6-7-8-9-20-21-32-43-54-65-76-87-88,0-1-2-3-4-5-6-7-8-9-20-31-32-43-54-65-76-87-88
0 89:0-23-34-45-56-67-78-89,0-23-12-35-46-56-67-78-89,0-23-34-35-46-56-67-78-89
0 90:0-23-34-45-56-57-68-79-90,0-23-34-45-56-67-68-79-90,0-23-34-45-56-67-78-79-90
0 91:0-23-34-45-56-57-68-79-80-91,0-23-34-45-56-57-68-79-90-91,0-23-34-45-56-67-68-79-80-91
0 92:0-23-34-45-56-57-68-79-80-91-92,0-23-34-45-56-57-68-79-90-91-92,0-23-34-45-56-67-68-79-80-91-92
0 93:0-1-2-3-4-15-26-37-48-71-82-93,0-1-2-3-14-15-26-37-48-71-82-93,0-1-2-3-14-25-26-37-48-71-82-93
0 94:0-1-2-3-4-15-26-37-48-71-82-93-94,0-1-2-3-14-15-26-37-48-71-82-93-94,0-1-2-3-14-25-26-37-48-71-82-93-94
0 95:0-1-2-3-4-5-6-17-28-39-50-61-72-95,0-1-2-3-4-15-16-17-28-39-50-61-72-95,0-1-2-3-4-15-16-27-28-39-50-61-72-95
1 0:1-2-3-4-5-6-7-8-9-10-11-0,1-2-3-4-15-26-37-48-71-82-93-94-0,1-2-3-4-15-26-37-48-71-82-93-11-0
1 11:1-2-3-4-5-6-7-8-9-10-11,1-2-3-4-15-26-37-48-71-82-93-11,1-2-3-14-15-26-37-48-71-82-93-11
1 12:1-2-3-4-5-6-7-8-9-10-11-0-23-12,1-2-3-4-5-6-7-8-9-10-21-22-23-12,1-2-3-4-5-6-7-8-9-20-21-22-23-12
1 15:1-2-3-4-15,1-2-3-14-15,1-2-13-14-15
1 16:1-2-3-4-15-16,1-2-3-14-15-16,1-2-13-14-15-16
1 17:1-2-3-4-5-6-17,1-2-3-4-15-16-17,1-2-3-14-15-16-17
1 18:1-2-3-4-5-6-17-18,1-2-3-4-15-16-17-18,1-2-3-14-15-16-17-18
1 19:1-2-3-4-5-6-7-8-19,1-2-3-4-5-6-17-18-19,1-2-3-4-15-16-17-18-19
1 20:1-2-3-4-5-6-7-8-9-20,1-2-3-4-5-6-7-8-19-20,1-2-3-4-5-6-17-18-19-20
1 21:1-2-3-4-5-6-7-8-9-10-21,1-2-3-4-5-6-7-8-9-20-21,1-2-3-4-5-6-7-8-19-20-21
1 22:1-2-3-4-5-6-7-8-9-10-21-22,1-2-3-4-5-6-7-8-9-20-21-22,1-2-3-4-5-6-7-8-19-20-21-22
1 23:1-2-3-4-5-6-7-8-9-10-11-0-23,1-2-3-4-5-6-7-8-9-10-21-22-23,1-2-3-4-5-6-7-8-9-20-21-22-23
1 24:1-2-3-4-5-6-7-8-9-10-11-0-23-12-35-24,1-2-3-4-5-6-7-8-9-10-11-0-23-34-35-24,1-2-3-4-5-6-7-8-9-10-21-22-23-12-35-24
1 26:1-2-3-4-15-26,1-2-3-14-15-26,1-2-3-14-25-26
1 27:1-2-3-4-15-16-27,1-2-3-4-15-26-27,1-2-3-14-15-16-27
1 28:1-2-3-4-5-6-17-28,1-2-3-4-15-16-17-28,1-2-3-4-15-16-27-28
1 29:1-2-3-4-5-6-17-18-29,1-2-3-4-5-6-17-28-29,1-2-3-4-15-16-17-18-29
1 30:1-2-3-4-5-6-17-18-29-30,1-2-3-4-5-6-17-28-29-30,1-2-3-4-15-16-17-18-29-30
1 31:1-2-3-4-5-6-7-8-9-20-31,1-2-3-4-5-6-7-8-19-20-31,1-2-3-4-5-6-17-18-19-20-31
1 32:1-2-3-4-5-6-7-8-9-10-21-32,1-2-3-4-5-6-7-8-9-20-21-32,1-2-3-4-5-6-7-8-9-20-31-32
1 33:1-2-3-4-5-6-7-8-9-10-21-22-33,1-2-3-4-5-6-7-8-9-10-21-32-33,1-2-3-4-5-6-7-8-9-20-21-22-33
1 34:1-2-3-4-5-6-7-8-9-10-11-0-23-34,1-2-3-4-5-6-7-8-9-10-21-22-23-34,1-2-3-4-5-6-7-8-9-10-21-22-33-34
1 35:1-2-3-4-5-6-7-8-9-10-11-0-23-12-35,1-2-3-4-5-6-7-8-9-10-11-0-23-34-35,1-2-3-4-5-6-7-8-9-10-21-22-23-12-35
1 37:1-2-3-4-15-26-37,1-2-3-14-15-26-37,1-2-3-14-25-26-37
1 38:1-2-3-4-15-16-27-38,1-2-3-4-15-26-27-38,1-2-3-4-15-26-37-38
1 39:1-2-3-4-5-6-17-28-39,1-2-3-4-15-16-17-28-39,1-2-3-4-15-16-27-28-39
1 40:1-2-3-4-5-6-17-18-29-40,1-2-3-4-5-6-17-28-29-40,1-2-3-4-5-6-17-28-39-40
1 41:1-2-3-4-5-6-17-18-29-30-41,1-2-3-4-5-6-17-18-29-40-41,1-2-3-4-5-6-17-28-29-30-41
1 42:1-2-3-4-5-6-7-8-9-20-31-42,1-2-3-4-5-6-7-8-19-20-31-42,1-2-3-4-5-6-17-18-19-20-31-42
1 43:1-2-3-4-5-6-7-8-9-10-21-32-43,1-2-3-4-5-6-7-8-9-20-21-32-43,1-2-3-4-5-6-7-8-9-20-31-32-43
1 44:1-2-3-4-5-6-7-8-9-10-21-22-33-44,1-2-3-4-5-6-7-8-9-10-21-32-33-44,1-2-3-4-5-6-7-8-9-10-21-32-43-44
1 45:1-2-3-4-5-6-7-8-9-10-11-0-23-34-45,1-2-3-4-5-6-7-8-9-10-21-22-23-34-45,1-2-3-4-5-6-7-8-9-10-21-22-33-34-45
1 46:1-2-3-4-5-6-7-8-9-10-11-0-23-12-35-46,1-2-3-4-5-6-7-8-9-10-11-0-23-34-35-46,1-2-3-4-5-6-7-8-9-10-11-0-23-34-45-46
1 47:1-2-3-4-5-6-7-8-9-10-11-0-23-12-35-24-47,1-2-3-4-5-6-7-8-9-10-11-0-23-12-35-46-47,1-2-3-4-5-6-7-8-9-10-11-0-23-34-35-24-47
1 48:1-2-3-4-15-26-37-48,1-2-3-14-15-26-37-48,1-2-3-14-25-26-37-48
1 49:1-2-3-4-15-16-27-38-49,1-2-3-4-15-26-27-38-49,1-2-3-4-15-26-37-38-49
1 50:1-2-3-4-5-6-17-28-39-50,1-2-3-4-15-16-17-28-39-50,1-2-3-4-15-16-27-28-39-50
1 51:1-2-3-4-5-6-17-28-39-50-51,1-2-3-4-15-16-17-28-39-50-51,1-2-3-4-15-16-27-28-39-50-51
1 52:1-2-3-4-5-6-17-18-29-30-41-52,1-2-3-4-5-6-17-18-29-40-41-52,1-2-3-4-5-6-17-28-29-30-41-52
1 53:1-2-3-4-5-6-17-18-29-30-41-52-53,1-2-3-4-5-6-17-18-29-40-41-52-53,1-2-3-4-5-6-17-28-29-30-41-52-53
1 54:1-2-3-4-5-6-7-8-9-10-21-32-43-54,1-2-3-4-5-6-7-8-9-20-21-32-43-54,1-2-3-4-5-6-7-8-9-20-31-32-43-54
